review_id,review_text,category
1,Great ambience,Pricing
2,The service was excellent,Product Quality
3,Great ambience,Service
4,The area was clean,Ambience
5,Very polite staff,Ambience
6,Affordable pricing,Product Quality
7,Prices are too high,Service
8,The service was excellent,Product Quality
9,Food quality was terrible,Cleanliness
10,Bad experience overall,Service
11,The area was clean,Cleanliness
12,The service was excellent,Service
13,Great ambience,Ambience
14,Bad experience overall,Pricing
15,Prices are too high,Product Quality
16,The area was clean,Pricing
17,Very polite staff,Cleanliness
18,The place was dirty,Pricing
19,Bad experience overall,Pricing
20,The area was clean,Pricing
21,The area was clean,Service
22,Loved the atmosphere,Ambience
23,The place was dirty,Pricing
24,Bad experience overall,Ambience
25,The area was clean,Service
26,The area was clean,Product Quality
27,The place was dirty,Cleanliness
28,The place was dirty,Ambience
29,Very polite staff,Pricing
30,Affordable pricing,Cleanliness
31,Prices are too high,Service
32,The service was excellent,Ambience
33,The place was dirty,Ambience
34,Food quality was terrible,Service
35,The area was clean,Cleanliness
36,Food quality was terrible,Service
37,Food quality was terrible,Pricing
38,Very polite staff,Product Quality
39,Affordable pricing,Cleanliness
40,Very polite staff,Service
41,Great ambience,Cleanliness
42,Affordable pricing,Ambience
43,The area was clean,Cleanliness
44,The place was dirty,Pricing
45,The service was excellent,Cleanliness
46,The place was dirty,Pricing
47,The area was clean,Pricing
48,Very polite staff,Cleanliness
49,Food quality was terrible,Service
50,Loved the atmosphere,Cleanliness
51,Loved the atmosphere,Pricing
52,Affordable pricing,Pricing
53,Affordable pricing,Ambience
54,The place was dirty,Pricing
55,Food quality was terrible,Cleanliness
56,Food quality was terrible,Service
57,Bad experience overall,Product Quality
58,Affordable pricing,Cleanliness
59,Great ambience,Service
60,The place was dirty,Cleanliness
61,Bad experience overall,Ambience
62,Great ambience,Pricing
63,Prices are too high,Pricing
64,The area was clean,Ambience
65,The service was excellent,Cleanliness
66,The place was dirty,Ambience
67,The place was dirty,Ambience
68,Affordable pricing,Ambience
69,Affordable pricing,Ambience
70,Bad experience overall,Service
71,Affordable pricing,Cleanliness
72,Bad experience overall,Ambience
73,Great ambience,Cleanliness
74,Affordable pricing,Service
75,Food quality was terrible,Product Quality
76,Affordable pricing,Pricing
77,Very polite staff,Pricing
78,The place was dirty,Service
79,The place was dirty,Service
80,The area was clean,Product Quality
81,The area was clean,Ambience
82,Great ambience,Pricing
83,The area was clean,Service
84,Bad experience overall,Service
85,Great ambience,Product Quality
86,The place was dirty,Pricing
87,Bad experience overall,Product Quality
88,Affordable pricing,Product Quality
89,Prices are too high,Pricing
90,The place was dirty,Service
91,Bad experience overall,Product Quality
92,Great ambience,Product Quality
93,Great ambience,Cleanliness
94,Very polite staff,Ambience
95,Loved the atmosphere,Product Quality
96,Loved the atmosphere,Service
97,Food quality was terrible,Service
98,Food quality was terrible,Pricing
99,The area was clean,Product Quality
100,Prices are too high,Ambience
101,The place was dirty,Ambience
102,The area was clean,Cleanliness
103,Very polite staff,Pricing
104,Very polite staff,Cleanliness
105,Bad experience overall,Service
106,Affordable pricing,Pricing
107,The place was dirty,Pricing
108,Loved the atmosphere,Ambience
109,The service was excellent,Pricing
110,The area was clean,Service
111,Bad experience overall,Pricing
112,The service was excellent,Cleanliness
113,Very polite staff,Product Quality
114,Affordable pricing,Service
115,The service was excellent,Cleanliness
116,Great ambience,Ambience
117,Bad experience overall,Service
118,The place was dirty,Product Quality
119,Very polite staff,Service
120,Great ambience,Service
121,Food quality was terrible,Pricing
122,Bad experience overall,Product Quality
123,Food quality was terrible,Cleanliness
124,The area was clean,Ambience
125,Bad experience overall,Pricing
126,The service was excellent,Pricing
127,Bad experience overall,Cleanliness
128,Prices are too high,Ambience
129,The service was excellent,Product Quality
130,Affordable pricing,Cleanliness
131,Food quality was terrible,Service
132,The service was excellent,Pricing
133,Very polite staff,Service
134,The place was dirty,Product Quality
135,Food quality was terrible,Cleanliness
136,Bad experience overall,Cleanliness
137,The service was excellent,Ambience
138,Affordable pricing,Ambience
139,The area was clean,Pricing
140,Food quality was terrible,Cleanliness
141,The service was excellent,Cleanliness
142,Loved the atmosphere,Cleanliness
143,Great ambience,Service
144,Food quality was terrible,Ambience
145,Prices are too high,Service
146,Food quality was terrible,Product Quality
147,Very polite staff,Cleanliness
148,Bad experience overall,Cleanliness
149,Prices are too high,Cleanliness
150,The service was excellent,Pricing
151,Very polite staff,Service
152,Very polite staff,Ambience
153,The area was clean,Service
154,Very polite staff,Cleanliness
155,The place was dirty,Pricing
156,Food quality was terrible,Cleanliness
157,Great ambience,Ambience
158,Very polite staff,Pricing
159,Prices are too high,Product Quality
