comment_id,comment_text,sentiment
1,I love this product!,Positive
2,Not satisfied,Positive
3,Very disappointing,Neutral
4,Delivery was late,Negative
5,Fair enough,Positive
6,Could be better,Positive
7,Nothing special,Negative
8,Amazing quality!,Negative
9,Excellent service!,Neutral
10,Average experience,Positive
11,Amazing quality!,Positive
12,Product stopped working,Neutral
13,It's okay,Negative
14,Delivery was late,Positive
15,Bad experience overall,Negative
16,Very disappointing,Positive
17,Very satisfied with the product,Neutral
18,Fantastic experience,Neutral
19,Product stopped working,Negative
20,Terrible support,Negative
21,Average experience,Negative
22,Not satisfied,Negative
23,Average experience,Neutral
24,Worst service ever,Positive
25,Could be better,Negative
26,Amazing quality!,Negative
27,It's okay,Negative
28,Product stopped working,Positive
29,Worst service ever,Positive
30,Very bad experience,Neutral
31,Super fast delivery!,Neutral
32,Worst service ever,Neutral
33,Super fast delivery!,Positive
34,Fair enough,Negative
35,Fair enough,Neutral
36,Poor quality,Neutral
37,Not satisfied,Negative
38,Product stopped working,Positive
39,Excellent service!,Positive
40,Could be better,Positive
41,It's okay,Negative
42,Fair enough,Neutral
43,Average experience,Positive
44,Worst service ever,Negative
45,"Not great, not bad",Negative
46,Poor quality,Negative
47,Product stopped working,Negative
48,Could be better,Neutral
49,"Not great, not bad",Positive
50,Bad experience overall,Negative
51,Delivery was late,Negative
52,Super fast delivery!,Positive
53,Amazing quality!,Positive
54,Could be better,Neutral
55,Great value for money!,Negative
56,Fair enough,Negative
57,"Not great, not bad",Negative
58,Delivery was late,Neutral
59,Great value for money!,Neutral
60,Not satisfied,Neutral
61,Fair enough,Positive
62,Could be better,Positive
63,Super fast delivery!,Neutral
64,Not satisfied,Positive
65,Excellent service!,Neutral
66,"Not great, not bad",Negative
67,Poor quality,Negative
68,Very disappointing,Neutral
69,Great value for money!,Negative
70,Amazing quality!,Negative
71,Very disappointing,Positive
72,Poor quality,Neutral
73,Great value for money!,Positive
74,Excellent service!,Positive
75,Highly recommend this!,Negative
76,Super fast delivery!,Negative
77,Super fast delivery!,Negative
78,Great value for money!,Positive
79,I love this product!,Negative
80,Not satisfied,Positive
81,"Not great, not bad",Negative
82,Amazing quality!,Neutral
83,I love this product!,Negative
84,Excellent service!,Negative
85,Not satisfied,Negative
86,Delivery was late,Positive
87,It's okay,Neutral
88,"Not great, not bad",Neutral
89,Not satisfied,Neutral
90,Very satisfied with the product,Negative
